Platform,Ticker,Security Name
HL,LINTGED ID Equity,Lindsell Train Global Equity F
HL,JPMEMBA LN Equity,JPMorgan Fund ICVC - Emerging
HL,FSMEQIA LN Equity,Fundsmith Equity Fund
HL,MNKS LN Equity,Monks Investment Trust PLC/The
HL,BAREBIN LN Equity,Barings UK Unit Trust Funds -
HL,CSUKBIA LN Equity,CFP SDL UK Buffettology Fund
II,ATT LN Equity,Allianz Technology Trust PLC
II,FSAPLBA LN Equity,First State Investments ICVC-
II,FSGEMBA LN Equity,FS Investments ICVC- Stewart I
II,FSMEQIA LN Equity,Fundsmith Equity Fund
II,LINTGEB ID Equity,Lindsell Train Global Equity F
II,LIOSSFI LN Equity,Liontrust Special Situations F
BI,IPCBDYA LN Equity,Invesco Perpetual Fixed Intere
BI,JOHUOYA LN Equity,J O Hambro Capital Management
